State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ADDINGTON,3352,Ballarat,,
VIC,ALFREDTON,3350,Ballarat,,
VIC,ALLENDALE,3364,Ballarat,,
VIC,ASCOT,3364,Ballarat,,
VIC,BACCHUS MARSH,3340,Ballarat,,
VIC,BAKERY HILL,3350,Ballarat,,
VIC,BALD HILLS,3364,Ballarat,,
VIC,BALLAN,3342,Ballarat,,
VIC,BALLARAT,3350,Ballarat,,BALLARAT CENTRAL
VIC,BALLARAT,3350,Ballarat,,BALLARAT NORTH
VIC,BALLARAT,3350,Ballarat,,REDAN
VIC,BALLARAT,3350,Ballarat,,SOLDIERS HILL
VIC,BALLARAT CENTRAL,3350,Ballarat,,
VIC,BALLARAT EAST,3350,Ballarat,,
VIC,BALLARAT NORTH,3350,Ballarat,,
VIC,BALLIANG,3340,Ballarat,,
VIC,BALLIANG EAST,3340,Ballarat,,
VIC,BARKSTEAD,3364,Ballarat,,
VIC,BARRYS REEF,3458,Ballarat,,
VIC,BASALT,3460,Ballarat,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,BEREMBOKE,3342,Ballarat,,
VIC,BLACK HILL,3350,Ballarat,,
VIC,BLACKWOOD,3458,Ballarat,,
VIC,BLACKWOOD NORTH,3458,Ballarat,,NORTH BLACKWOOD
VIC,BLAKEVILLE,3342,Ballarat,,
VIC,BLAMPIED,3364,Ballarat,,
VIC,BLOWHARD,3352,Ballarat,,
VIC,BO PEEP,3351,Ballarat,,
VIC,BOLWARRAH,3352,Ballarat,,
VIC,BONSHAW,3352,Ballarat,,
VIC,BROOMFIELD,3364,Ballarat,,
VIC,BROWN HILL,3350,Ballarat,,
VIC,BULLAROOK,3352,Ballarat,,
VIC,BULLARTO,3461,Ballarat,,
VIC,BULLARTO SOUTH,3461,Ballarat,,
VIC,BUNDING,3342,Ballarat,,
VIC,BUNGAL,3334,Ballarat,,
VIC,BUNGAREE,3352,Ballarat,,
VIC,BUNINYONG,3357,Ballarat,,
VIC,BUNKERS HILL,3352,Ballarat,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,BURRUMBEET,3352,Ballarat,,
VIC,CABBAGE TREE,3364,Ballarat,,
VIC,CAMPBELLTOWN,3364,Ballarat,,
VIC,CANADIAN,3350,Ballarat,,
VIC,CARDIGAN,3352,Ballarat,,
VIC,CARDIGAN VILLAGE,3352,Ballarat,,
VIC,CARGERIE,3334,Ballarat,,
VIC,CLARENDON,3352,Ballarat,,
VIC,CLARETOWN,3352,Ballarat,,
VIC,CLARKES HILL,3352,Ballarat,,
VIC,CLUNES,3370,Ballarat,,
